Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Motherboard,ASUS X870 MAX GAMING WIFI7 W AM5 ATX Motherboard,ASUS,"৳ 43,500","৳ 46,000","৳ 2,500",In Stock
Motherboard,ASUS X870 AYW GAMING WIFI W AM5 ATX Motherboard,ASUS,"৳ 45,500","৳ 47,500","৳ 2,000",In Stock
Motherboard,ASUS B850 MAX GAMING WIFI W AM5 ATX Gaming Motherboard,ASUS,"৳ 35,000","৳ 36,500","৳ 1,500",In Stock
Motherboard,Gigabyte B850I AORUS PRO DDR5 AMD AM5 Mini ITX Motherboard,Gigabyte,"৳ 41,500","৳ 45,000","৳ 3,500",In Stock
Motherboard,Gigabyte X870I AORUS PRO ICE DDR5 AMD AM5 ATX Motherboard,Gigabyte,"৳ 67,000","৳ 69,000","৳ 2,000",In Stock
Motherboard,Gigabyte Z890 AORUS ELITE X ICE DDR5 ATX Motherboard,Gigabyte,"৳ 46,500","৳ 47,500","৳ 1,000",In Stock
Motherboard,ASUS PRIME H610I-PLUS DDR5 Mini ITX Motherboard,ASUS,"৳ 17,000","৳ 19,500","৳ 2,500",In Stock
Motherboard,ASUS Z790-AYW WIFI W II LGA1700 ATX Motherboard,ASUS,"৳ 39,000","৳ 40,500","৳ 1,500",In Stock
Motherboard,GIGABYTE Z790 D AX DDR5 ATX Motherboard,GIGABYTE,"৳ 29,500","৳ 30,000",৳ 500,In Stock
Motherboard,Gigabyte H810M H LGA1851 DDR5 Intel Motherboard,Gigabyte,"৳ 12,000","৳ 12,800",৳ 800,In Stock
Motherboard,GIGABYTE H610M H V3 DDR4 Micro ATX LGA1700 14th Gen Intel Motherboard,GIGABYTE,"৳ 10,200","৳ 11,200","৳ 1,000",In Stock
Motherboard,ASUS B860M AYW GAMING WIFI LGA 1851 DDR5 Micro-ATX Motherboard,ASUS,"৳ 24,800","৳ 26,200","৳ 1,400",In Stock
Motherboard,Asus PRIME H610M-CS DDR5 micro-ATX 13th Gen Motherboard,Asus,"৳ 11,100","৳ 14,000","৳ 2,900",In Stock
Motherboard,Asus PRIME H610M-R Micro-ATX DDR5 14th GEN Intel Motherboard,Asus,"৳ 11,000","৳ 14,900","৳ 3,900",In Stock
Motherboard,ASUS B760M-AYW WIFI LGA1700 DDR5 Motherboard,ASUS,"৳ 19,100","৳ 20,500","৳ 1,400",In Stock
Motherboard,ASUS EX-B860M-V5 LGA1851 mATX DDR5 Motherboard,ASUS,"৳ 20,500","৳ 22,100","৳ 1,600",In Stock
Motherboard,ASUS Prime B860-PLUS-CSM LGA1851 DDR5 Intel Motherboard,ASUS,"৳ 26,300","৳ 29,000","৳ 2,700",In Stock
Motherboard,ASUS PRIME B860-PLUS WIFI-CSM LGA1851 DDR5 intel Motherboard,ASUS,"৳ 28,500","৳ 32,000","৳ 3,500",In Stock
Motherboard,ASUS TUF GAMING Z890-PLUS WIFI Intel LGA1851 DDR5 ATX Gaming Motherboard,ASUS,"৳ 50,000","৳ 54,000","৳ 4,000",In Stock
Motherboard,Asus ROG MAXIMUS Z890 HERO BTF LGA1851 DDR5 intel Motherboard,Asus,"৳ 104,500","৳ 108,500","৳ 4,000",In Stock
Motherboard,Asus TUF GAMING B850M-PLUS WIFI AMD B850 AM5 DDR5 micro-ATX Motherboard,Asus,"৳ 35,500","৳ 41,000","৳ 5,500",In Stock
Motherboard,Asus PRIME B840M-A WIFI-CSM AM5 AMD B840 DDR5 mATX Motherboard,Asus,"৳ 29,500","৳ 32,500","৳ 3,000",In Stock
Motherboard,ASUS B650M-AYW WIFI AMD Ryzen AM5 DDR5 Micro-ATX Motherboard,ASUS,"৳ 19,300","৳ 21,000","৳ 1,700",In Stock
Motherboard,ASUS ROG CROSSHAIR X870E HERO AM5 AMD X870E DDR5 ATX Gaming Motherboard,ASUS,"৳ 103,000","৳ 107,000","৳ 4,000",In Stock
Motherboard,MSI PRO B850-P WIFI AM5 AMD B850 DDR5 ATX Motherboard,MSI,"৳ 27,500","৳ 35,000","৳ 7,500",In Stock
Motherboard,MSi MAG B850 Tomahawk MAX Wifi AM5 AMD B850 DDR5 ATX Motherboard,MSi,"৳ 37,700","৳ 39,500","৳ 1,800",In Stock
Motherboard,MSi B860M Gaming Plus Wifi Intel Core Ultra LGA1851 DDR5 Micro ATX Motherboard,MSi,"৳ 25,900","৳ 30,000","৳ 4,100",In Stock
Motherboard,MSi B860 Gaming Plus Wifi Intel Core Ultra LGA1851 DDR5 ATX Motherboard,MSi,"৳ 26,700","৳ 32,000","৳ 5,300",In Stock
Motherboard,MAXSUN eSport B650 ITX WIFI ICE AM5 Motherboard,MAXSUN,"৳ 17,000","৳ 18,500","৳ 1,500",In Stock
Motherboard,MAXSUN eSport B650M WIFI6 ICE AM5 DDR5 AMD B650 m-ATX Motherboard,MAXSUN,"৳ 16,500","৳ 18,500","৳ 2,000",In Stock
Motherboard,MAXSUN Terminator B650M WIFI6 AMD B650 AM5 DDR5 M-ATX Motherboard,MAXSUN,"৳ 21,300","৳ 25,000","৳ 3,700",In Stock
Motherboard,Maxsun Terminator Z890-A WIFI DDR5 Intel Z890 Core Ultra ATX Motherboard,Maxsun,"৳ 29,800","৳ 32,000","৳ 2,200",In Stock
Motherboard,MAXSUN eSport Z890M WIFI ICE DDR5 Intel Z890 M-ATX Motherboard,MAXSUN,"৳ 29,200","৳ 31,500","৳ 2,300",In Stock
Motherboard,Maxsun Challenger Z890M Wi-Fi-6 DDR5 Intel Core Ultra LGA1851 Socket Motherboard,Maxsun,"৳ 27,000","৳ 30,500","৳ 3,500",In Stock
Motherboard,Gigabyte B450M DS3H V3 DDR4 AMD Micro-ATX Motherboard,Gigabyte,"৳ 10,000","৳ 15,300","৳ 5,300",In Stock
Motherboard,ASUS ROG STRIX Z890-A GAMING WIFI LGA 1851 DDR5 ATX Motherboard,ASUS,"৳ 62,500","৳ 66,500","৳ 4,000",In Stock
Motherboard,ASUS ROG STRIX B850-A GAMING WIFI AMD Ryzen AM5 ATX Gaming Motherboard,ASUS,"৳ 43,000","৳ 45,000","৳ 2,000",In Stock
Motherboard,ASUS ROG STRIX B850-I GAMING WIFI AMD Mini-ITX Gaming Motherboard,ASUS,"৳ 48,000","৳ 50,500","৳ 2,500",In Stock
