Component,Product Name,Brand,Current Price,Old Price,Discount Amount,Stock Status
Graphics Card,MSI GeForce RTX 5070 12G INSPIRE 3X OC NVIDIA Graphics Card,MSI,"৳ 102,900","৳ 105,900","৳ 3,000",In Stock
Graphics Card,MSI GeForce RTX 5070 12G VENTUS 2X OC 12GB GDDR7 Graphics Card WHITE,MSI,"৳ 95,900","৳ 102,900","৳ 7,000",In Stock
Graphics Card,Msi GeForce RTX 5070 12G GAMING TRIO OC 12GB GDDR7 Graphics Card,Msi,"৳ 104,900","৳ 112,500","৳ 7,600",In Stock
Graphics Card,MSI GeForce RTX 5090 32G VENTUS 3X OC 32GB GDDR7 Graphics Card,MSI,"৳ 465,000","৳ 489,000","৳ 24,000",In Stock
Graphics Card,Sapphire PULSE AMD Radeon RX 9070 16GB GDDR6 Graphics Card,Sapphire,"৳ 102,900","৳ 103,900","৳ 1,000",In Stock
Graphics Card,Powercolor Reaper AMD Radeon RX 9070 16GB GDDR6 Graphics Card,Powercolor,"৳ 102,500","৳ 105,000","৳ 2,500",In Stock
Graphics Card,Powercolor Reaper AMD Radeon RX 9070 XT 16GB GDDR6 Graphics Card,Powercolor,"৳ 113,500","৳ 115,000","৳ 1,500",In Stock
Graphics Card,PowerColor Red Devil AMD Radeon RX 9070 XT 16GB GDDR6 Graphics Card,PowerColor,"৳ 127,000","৳ 129,000","৳ 2,000",In Stock
Graphics Card,PNY NVIDIA GeForce RTX 5080 16G OC Triple Fan Graphics Card,PNY,"৳ 191,000","৳ 212,000","৳ 21,000",In Stock
Graphics Card,Arktek RX 580 8GB 256bit DVI/HDMI/3 x DP GDDR5 Graphics Card,Arktek,"৳ 20,000","৳ 22,000","৳ 2,000",In Stock
Graphics Card,ASUS PRIME GeForce RTX 5080 16GB GDDR7 OC Edition Graphics cards,ASUS,"৳ 205,000","৳ 235,000","৳ 30,000",In Stock
Graphics Card,MSI GeForce RTX 5070 Ti 16G VENTUS 3X OC 16GB GDDR7 Graphics Card,MSI,"৳ 138,999","৳ 150,000","৳ 11,001",In Stock
Graphics Card,ASUS ROG Astral GeForce RTX 5090 32GB OC Edition GDDR7 Graphics Card,ASUS,"৳ 550,000","৳ 750,000","৳ 200,000",In Stock
Graphics Card,PNY GeForce RTX 5080 16GB GDDR7 ARGB EPIC-X RGB OC Triple Fan Graphics Card,PNY,"৳ 198,000","৳ 212,000","৳ 14,000",In Stock
Graphics Card,Gigabyte GeForce RTX 5080 GAMING OC 16G GDDR7 Graphics Card,Gigabyte,"৳ 219,000","৳ 239,000","৳ 20,000",In Stock
Graphics Card,MAXSUN Intel Arc B580 iCraft 12GB GDDR6 Graphics Card,MAXSUN,"৳ 42,000","৳ 49,500","৳ 7,500",In Stock
Graphics Card,Asus GT710-SL-2GD5-BRK-EVO 2GB GDDR5 Graphics Card,Asus,"৳ 7,700","৳ 7,900",৳ 200,In Stock
